Не работает блок питания,не работает блок питания., сила нк2-1404 v2
Не включается SILA LLC HK2-3404., что можно сделать?_x000d_, пк
Сервер СР2-5422 // Системные ошибки // D251110041, на сервере появились системные ошибки.,сервер ср2-5422
Повреждение матрицы,повреждение матрицы., ноутбука.
sila HK2-1404 c223014125 asset 7101087,"
не включается, нет индикации заряда.","
не включается, нет индикации заряда."
Не работает блок питания,не работает блок питания.,не работает блок питания.
НК2-3404 // Мерцание экрана // C223091001,"
c223091001_x000d_"," стояли в офисе,"
Ноутбук НК2-1404 // Вентилятор трется о сетку // C223012430,"
спустя 30 минут работы вентилятор трется о сетку_x000d_",ноутбук нк2-1404
Неисправность сервера СИЛА // 46920,неисправность сервера сила // 46920., неисправность системы охлаждения сервера
Звук и микрофон не активны на ноутбуке Сила ruc223012961., перестали работать, перестали работать
Ноутбук Сила НК2-1404 v2  SN: C223100312 не работает сетевой адаптер., не работает сетевой адаптер., не работает сетевой адаптер.
Неисправность Ноутбук СИЛА НК2-3404 - NTB48595 (S/N: C223090725), вышла из строя, аппаратная.
"Зависает система, даже без нагрузки.", не реагирует ни на накие кнопки," корп. система, и ""голая"""
dd503.region..ru - Disk 3.2,"
f        failed disks", in use disks
Ноутбук СИЛА HK1-1427/ i5-1135G7/16G/m.2 512Gb/С111120102/инв. № 525600," обновление драйверов пк проблема не устранима,"," usb наушников,"
Сервер СИЛА СР2-5422  // Вышел из строя сетевой SFP модуль // D252110012, нет сигнала,сервер сила ср2-5422
Ноутбук СИЛА HK1-1425/ i5-1135G7/8G/m.2 512Gb/ С112040045 /инв. 525861_ВЛN,"
порт hdmi в ноутбуке уже давно не работает.",ноутбук
СИЛА НК2-1404 \нет загрузочного  диска\C222091500, пропал загрузочный диск._x000d_, \нет загрузочного  диска\c222091500.
Неисправность ноутбука Сила NTB49600 (Платформа) - C223090096, вышла из строя, аппаратная.
Полосы на экране, полосы на экране,полосы на экране. полосы на экране
HK2-1404 // Не работает зарядное устройство // C223102298, перестало работать зарядное устройство.,hk2-1404
НК2-3404 // Мерцание экрана // C223091126,"
мерцает экран,"," стояли в офисе,"
Ноутбук не включается,ноутбук не включается.,ноутбук не включается.
Не работает ноутбук, сброс по питанию проблему не решает., c223013256
Гарантийный ремонт 2-х ноутбуков СИЛА, выявили дефекты изображения, нк2-3404.
HK2-1404 C223013523, повреждена, сила нк2-1404 c223013523
Ноутбук НК2-1404 // Полосы и мерцание на мониторе // C223014561,"
примите пожалуйста заявку на ремонт.",ноутбук нк2-1404
BIOS'ы,"
поделитесь, пожалуйста, последними версиями bios", нк2-1404 и нк2-3404.
"Свежая версия BMC Cube, шаблон для Zabbix","
шаблон для zabbix не появился?", сила cp2-6327?_x000d_
Требуется замена модуля памяти, при проведении теста памяти ошибка повторяется., требуется замена модуля памяти.
Ноутбук СИЛА HK1-1425/i5-1135G7/1*16G/m.2 256G/B3Y/С111080061/инв. №525315, не работает hdmi,ноутбук
Обновление BIOS, не удобно писать заявки на предоставление драйверов., hk2-1404_x000d_
Неисправность сервера СИЛА // 46915,неисправность сервера сила // 46915., системы охлаждения
СИЛА НК2-1404// Замена ЗУ на ноутбуках Сила HK2-1404 (в кол-ве 6 шт.), вышли из строя, сила hk2-1404
Сервер СР2-5422 // После обновления bios и bmc появились ошибки системных кулеров // D251110015,"
сброс логов с последующей перезагрузкой bmc не помогли.",сервер ср2-5422
СИЛА НК2-1404//Драйверы звука и видео пропадают при перезагрузке // C222090246, будьте добры сообщить адрес сервисного центра, будьте добры сообщить адрес сервисного центра
Неприемлемо долгий запуск сервера CP2-5422,"
программная конфигурация у всех трех серверов одинаковая:_x000d_", абсолютно одинаковая._x000d_
мерцает экран ноутбука, мерцает экран ноутбука,мерцает экран ноутбука. мерцает экран ноутбука
СИЛА НК2-1404// Замена ЗУ на ноутбуках Сила HK2-1404 (в кол-ве 5 шт.)// C223012998 C223101389 C223102298  C223100876 C223100050, вышли из строя, сила hk2-1404
Сила КУБ: запрос на обновление прошивки,"
просим предоставить актуальные версии прошивок", сервер ср2-6327._x000d_
заявка на гарантийный ремонт\замену, блок питания не подает заряд, блок питания не подает заряд
HK2-1404 // Не работает кнопка влючения и jack 3.5 // C223011660,"
это не гарантийный ремонт,","
это не гарантийный ремонт,"
"СИЛА НК2-3205 // Перечень проблем с ноутбуками СИЛА // Проблемы при подключении к док-станции, второго монитора //  C233041042", №c233041042_x000d_,"
сила hk2 3205"
СИЛА HK2-1404 // Не работает зарядное устройство // C223011088, не работает зарядное устройство, не работает зарядное устройство // c223011088.
Ноутбук СИЛА HK1-1425/i5-1135G7/8G/m.2 256G/B3Y/С111080030/инв. №367120, не работает hdmi_x000d_," не работает hdmi_x000d_
_x000d_"
Неисправность Ноутбук СИЛА НК2-3404 - NTB48179 S/N: C223091624, система охлаждения центрального процессора., аппаратная.
Сервер СР2-5422 // После обновления bios и bmc перестал работать BMC // D251110011, проблема осталась.,сервер ср2-5422
"СИЛА НК2-1404 // Рябь, мерцание //C223014073"," c223013568,c223014073, c223014954", ноутбуков сила нк2-1404.
"Синий экран, предположительно память.","
есть подозрения на модуль озу.", модуль озу.
HK2-1404 // Проблема с портом type-c // C223012095,"
не работает один порт type-c.",hk2-1404
Гарантийный ремонт," на экране были обнаружены ""помехи""",гарантийный ремонт.
С223091153 - мерцает экран, дисплеи не мерцают, дисплеи не мерцают
полосы на матрице НК2-3404 C223090893,полосы на матрице нк2-3404 c223090893., нк2-3404
СИЛА НК2-3404  // мерцающая матрица // C223090123, мерцающие полосы,"
серийник: c223090123"
